SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,Timestamp,timeIntervalSince1970,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,MagX,MagY,MagZ,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:40.3260,1694294920.325982,-0.0016793893883004785,-0.005381449591368437,-0.001689509372226894,0.1771087646484375,0.039093017578125,-0.98419189453125,123.70060729980469,-26.620803833007812,-37.402191162109375,2023-09-09 16:28:40.0920,1694294920.092063,0.04626322537660599,-0.053651124238967896,-0.030039004981517792,-0.1309508979320526,-0.4893340468406677,-0.8653106689453125,
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:40.4260,1694294920.425528,-0.000934236915782094,-0.0043505397625267506,-0.0011938951211050153,0.176849365234375,0.0402374267578125,-0.98480224609375,123.71963500976562,-26.560791015625,-38.20562744140625,2023-09-09 16:28:40.2050,1694294920.204589,0.012351397424936295,0.011084331199526787,-0.07853414118289948,-0.1232910007238388,-0.4931182563304901,-0.8602294921875,
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:40.5260,1694294920.5256371,0.0004474110610317439,-0.004093278665095568,-0.0006503439508378506,0.1774139404296875,0.0404205322265625,-0.9845733642578125,123.70626831054688,-26.558151245117188,-37.566864013671875,2023-09-09 16:28:40.2920,1694294920.2917771,0.028970787301659584,0.00900133978575468,-0.030467774718999863,-0.1138915941119194,-0.4752502143383026,-0.8559112548828125,
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:40.6250,1694294920.625406,-0.00315957423299551,-0.005534048657864332,-0.002412823960185051,0.1761474609375,0.0406036376953125,-0.983917236328125,123.90516662597656,-26.331939697265625,-37.761932373046875,2023-09-09 16:28:40.3920,1694294920.391807,0.033152081072330475,-0.0066625745967030525,-0.02478785067796707,-0.1330413594841957,-0.483856201171875,-0.8757781982421875,
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:40.7260,1694294920.725719,-0.00195129809435457,-0.00242107966914773,0.0001448759576305747,0.177001953125,0.0405731201171875,-0.98455810546875,123.90516662597656,-26.331939697265625,-37.761932373046875,2023-09-09 16:28:40.4920,1694294920.491627,0.0973038375377655,-0.006046718917787075,0.026433158665895462,-0.1124114990234375,-0.4861755073070526,-0.85595703125,
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:40.8250,1694294920.8253021,-0.0010631339391693473,-0.004918059334158897,-0.0005997438565827906,0.1769866943359375,0.0401153564453125,-0.9848480224609375,123.87174987792969,-26.5960693359375,-37.53874206542969,2023-09-09 16:28:40.5920,1694294920.591522,0.023707713931798935,0.07203170657157898,-0.050659265369176865,-0.10066220909357071,-0.4814147651195526,-0.85302734375,
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:40.9250,1694294920.925482,-0.0008250473183579743,-0.005771336145699024,-0.0036418726667761803,0.176788330078125,0.03985595703125,-0.9835968017578125,123.79931640625,-26.524337768554688,-38.142730712890625,2023-09-09 16:28:40.6910,1694294920.691324,-0.039838969707489014,0.06339786946773529,-0.01532114576548338,-0.1101837009191513,-0.4758758246898651,-0.85089111328125,
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:41.0290,1694294921.029372,-0.003849599277600646,-0.004473844077438116,-0.001743571599945426,0.176910400390625,0.03973388671875,-0.984283447265625,123.66781616210938,-26.402496337890625,-38.73301696777344,2023-09-09 16:28:40.7910,1694294920.791201,-0.006549989338964224,0.008889087475836277,0.026099132373929024,-0.1077575534582138,-0.4987487494945526,-0.8717193603515625,
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:41.1260,1694294921.1260362,0.000251402409048751,-0.0038754320703446865,-0.002385659608989954,0.1771392822265625,0.0405120849609375,-0.9842071533203125,123.66781616210938,-26.402496337890625,-38.73301696777344,2023-09-09 16:28:40.8910,1694294920.891045,0.0016738518606871367,0.011755181476473808,0.028236452490091324,-0.12130735069513321,-0.5025024116039276,-0.8729095458984375,
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:41.2150,1694294921.215064,0.0005464806454256177,-0.005269064102321863,-0.003626959165558219,0.176727294921875,0.040283203125,-0.9836883544921875,123.63670349121094,-26.416885375976562,-38.76502990722656,2023-09-09 16:28:40.9910,1694294920.990758,-0.03771236911416054,0.02064254879951477,0.0014860306400805712,-0.1078643724322319,-0.4987487196922302,-0.8440704345703125,
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:41.3160,1694294921.3161469,0.0013494236627593637,-0.003343865042552352,-0.004193946253508329,0.1767730712890625,0.0405120849609375,-0.9853057861328125,123.71882629394531,-26.522964477539062,-38.85475158691406,2023-09-09 16:28:41.0910,1694294921.0908232,-0.0639248639345169,-0.005845117382705212,-0.015590391121804714,-0.1016998142004013,-0.5109557807445526,-0.83709716796875,
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:41.4160,1694294921.4160218,-0.0009749832679517567,-0.0064773401245474815,-0.0013201289111748338,0.1766357421875,0.0413055419921875,-0.9844818115234375,123.66224670410156,-26.320663452148438,-38.735198974609375,2023-09-09 16:28:41.1910,1694294921.19069,-0.04694727808237076,0.004609254188835621,0.01002885214984417,-0.1122741624712944,-0.5008086562156677,-0.860443115234375,
0,2023-09-09 16:28:40.2140,02:53,10,1,2023-09-09 16:28:41.5150,1694294921.515363,0.0003528688393998891,-0.006347644608467817,-0.0022533005103468895,0.17657470703125,0.0400390625,-0.984161376953125,123.73837280273438,-26.420669555664062,-38.78851318359375,2023-09-09 16:28:41.2900,1694294921.290441,0.001040618633851409,-0.006037264131009579,0.02201407589018345,-0.1072387620806694,-0.4956512451171875,-0.8565826416015625,
