SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,Timestamp,timeIntervalSince1970,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,MagX,MagY,MagZ,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
0,2023-09-09 21:15:39.2530,03:00,10,1,2023-09-09 21:15:39.3680,1694312139.367876,-0.00213612150400877,-0.003959587775170803,-0.0033633061684668064,-0.022430419921875,-0.0054931640625,-1.0023040771484375,98.49855041503906,-22.753128051757812,-40.58583068847656,2023-09-09 21:15:38.9700,1694312138.9695292,-0.08665235340595245,0.18652068078517914,0.0023429980501532555,-0.08036801964044571,-0.6714171767234802,-0.7504425048828125,
0,2023-09-09 21:15:39.2530,03:00,10,1,2023-09-09 21:15:39.4650,1694312139.464562,0.0001531317684566602,-0.0075721656903624535,-0.0028043086640536785,-0.0238800048828125,-0.0045928955078125,-1.0007476806640625,98.40196228027344,-22.614364624023438,-40.67010498046875,2023-09-09 21:15:39.0870,1694312139.087156,-0.023266855627298355,0.11033323407173157,-0.03448925167322159,-0.041091904044151306,-0.6412506103515625,-0.7370758056640625,
0,2023-09-09 21:15:39.2530,03:00,10,1,2023-09-09 21:15:39.5640,1694312139.5641088,-0.001645567244850099,-0.0006154565489850938,-0.002894856035709381,-0.022552490234375,-0.0041351318359375,-1.001953125,98.40196228027344,-22.614364624023438,-40.67010498046875,2023-09-09 21:15:39.1660,1694312139.1661339,0.04739200323820114,0.07433848083019257,-0.019594259560108185,-0.0786285363137722,-0.6331023573875427,-0.7504730224609375,
0,2023-09-09 21:15:39.2530,03:00,10,1,2023-09-09 21:15:39.6650,1694312139.6645122,-0.0029923277907073498,-0.0003557983145583421,-0.003968908917158842,-0.0223846435546875,-0.0047454833984375,-1.00250244140625,98.51025390625,-22.662490844726562,-40.17832946777344,2023-09-09 21:15:39.2650,1694312139.265182,-0.10748712718486786,0.09934649616479874,-0.02301199361681938,-0.0535125769674778,-0.6315612196922302,-0.756561279296875,
0,2023-09-09 21:15:39.2530,03:00,10,1,2023-09-09 21:15:39.7640,1694312139.7643561,-0.002255431143566966,-0.004289287142455578,-0.0031638352666050196,-0.0236663818359375,-0.0041046142578125,-1.001373291015625,98.37591552734375,-22.561233520507812,-40.735565185546875,2023-09-09 21:15:39.3650,1694312139.365083,-0.07430753111839294,-0.013354352675378323,0.003743288107216358,-0.043685898184776306,-0.6587371826171875,-0.762237548828125,
0,2023-09-09 21:15:39.2530,03:00,10,1,2023-09-09 21:15:39.8640,1694312139.864151,-0.0022242721170186996,-0.004190484061837196,-0.003977430984377861,-0.021881103515625,-0.0030059814453125,-1.00048828125,98.31353759765625,-22.482070922851562,-40.461883544921875,2023-09-09 21:15:39.4650,1694312139.4649901,-0.02459716983139515,-0.04083937406539917,0.018604226410388947,-0.051208484917879105,-0.6467284560203552,-0.7511748671531677,
0,2023-09-09 21:15:39.2530,03:00,10,1,2023-09-09 21:15:39.9650,1694312139.965032,-0.0008524778531864285,-0.003323092358186841,-0.004727909807115793,-0.0223388671875,-0.004791259765625,-0.9997711181640625,98.42755126953125,-22.861190795898438,-40.92964172363281,2023-09-09 21:15:39.5650,1694312139.5648,0.016140006482601166,0.0050596753135323524,-0.010070761665701866,-0.0586700476706028,-0.6709594130516052,-0.7585296630859375,
0,2023-09-09 21:15:39.2530,03:00,10,1,2023-09-09 21:15:40.0650,1694312140.065467,-0.0016591493040323257,-0.005417136009782553,-0.00024154871061909944,-0.02294921875,-0.0040740966796875,-1.0006561279296875,98.30274963378906,-22.7252197265625,-40.972503662109375,2023-09-09 21:15:39.6650,1694312139.664732,0.026161281391978264,0.002750581130385399,0.001803841209039092,-0.0541992112994194,-0.6366118788719177,-0.7639617323875427,
0,2023-09-09 21:15:39.2530,03:00,10,1,2023-09-09 21:15:40.1650,1694312140.165022,-0.0027830032631754875,-0.003734284546226263,-0.00020213393145240843,-0.0233917236328125,-0.005218505859375,-1.0029296875,98.14176940917969,-22.635330200195312,-41.060791015625,2023-09-09 21:15:39.7640,1694312139.7644181,0.01844071038067341,-0.02343987673521042,0.033395491540431976,-0.057983387261629105,-0.61883544921875,-0.7496490478515625,
0,2023-09-09 21:15:39.2530,03:00,10,1,2023-09-09 21:15:40.2550,1694312140.254698,-0.0027830032631754875,-0.003734284546226263,-0.00020213393145240843,-0.022186279296875,-0.004730224609375,-1.0007781982421875,98.23716735839844,-22.50360107421875,-41.22111511230469,2023-09-09 21:15:39.8640,1694312139.864097,-0.03381543606519699,-0.03360595926642418,0.020381487905979156,-0.0525665283203125,-0.6423187255859375,-0.7586517333984375,
